consultaID, categoriaID, descripcion
562, 3, El cuarto asignado estaba en malas condiciones.
491, 1, El médico no explicó claramente el diagnóstico.
370, 2, El tiempo de espera fue demasiado largo.
361, 3, El personal administrativo fue poco cordial.
361, 3, El personal administrativo fue poco cordial.
337, 1, 
473, 1, El personal administrativo fue poco cordial.
473, 1, El personal administrativo fue poco cordial.
312, 3, Falta de disponibilidad de medicamentos.
996, 2, La atención se sintió apresurada.
, , La cita fue cancelada sin previo aviso.
, , La cita fue cancelada sin previo aviso.
911, , La cita fue cancelada sin previo aviso.
911, , La cita fue cancelada sin previo aviso.
775, 4, El cuarto asignado estaba en malas condiciones.
529, 3, Problemas con la facturación del servicio.
529, 3, Problemas con la facturación del servicio.
853, 2, Se extraviaron documentos clínicos importantes.
721, 4, Falta de disponibilidad de medicamentos.
576, 3, La atención se sintió apresurada.
826, 2, La atención del personal no fue satisfactoria.
371, 1, El médico no explicó claramente el diagnóstico.
45, 4, El personal administrativo fue poco cordial.
336, 4, El personal administrativo fue poco cordial.
336, 4, El personal administrativo fue poco cordial.
784, 3, El personal administrativo fue poco cordial.
171, 2, Falta de disponibilidad de medicamentos.
985, 2, El tiempo de espera fue demasiado largo.
, 3, El médico dijo: 'todo bien' sin explicación
204, , 
204, , 
197, 3, El personal administrativo fue poco cordial.
944, 1, El cuarto asignado estaba en malas condiciones.
373, 3, Se extraviaron documentos clínicos importantes.
373, 3, Se extraviaron documentos clínicos importantes.
728, 2, El cuarto asignado estaba en malas condiciones.
750, 2, El personal administrativo fue poco cordial.
912, 2, La atención se sintió apresurada.
550, 4, El personal administrativo fue poco cordial.
587, 4, El médico no explicó claramente el diagnóstico.
715, 4, El tiempo de espera fue demasiado largo.
554, 1, La atención del personal no fue satisfactoria.
554, 1, La atención del personal no fue satisfactoria.
243, 1, El personal administrativo fue poco cordial.
ABC123, 2, Problemas con la facturación del servicio.
771, 4, La atención del personal no fue satisfactoria.
771, 4, La atención del personal no fue satisfactoria.
683, 4, El cuarto asignado estaba en malas condiciones.
683, 4, El cuarto asignado estaba en malas condiciones.
